name,location,province,description,category,latitude,longitude
Idalgashinna Tea Factory,Haputale,Uva,Remote tea factory along the scenic train route with high-quality Uva teas.,Tea Plantations,6.9694,81.3805
Finlays Tea Estate,Koslanda,Uva,British-era plantation with traditional production and sustainable practices.,Tea Plantations,6.9644,81.2533
Hapugasthenna Tea Plantation,Maskeliya,Central,High-altitude plantation on the way to Adam's Peak with diverse tea varieties.,Tea Plantations,7.2281,80.6989
Norwood Tea Factory,Norwood,Central,Heritage factory with panoramic views of the surrounding plantations and reservoirs.,Tea Plantations,7.2721,80.4474
Strathdon Tea Factory,Hatton,Central,Century-old tea factory with traditional methods and tasting center.,Tea Plantations,7.2620,80.7485
New Vithanakande Tea Factory,Ratnapura,Sabaragamuwa,Award-winning plantation producing some of the world's most expensive teas.,Tea Plantations,6.5886,80.4276
Mlesna Tea Castle,Bandarawela,Uva,Unique castle-like tea center with factory tours and extensive tea shop.,Tea Plantations,6.7608,81.4200
Lovers Leap Tea Estate,Nuwara Eliya,Central,"Named after the waterfall and legend, offering stunning valley views.",Tea Plantations,6.9497,80.7891
Mattakelle Tea Factory,Talawakele,Central,Historic plantation known for high-quality high-grown teas and biodiversity.,Tea Plantations,7.2553,80.4981
Kadugannawa Tea Garden,Kadugannawa,Central,Roadside plantation near the historic Kadugannawa Pass with visitor facilities.,Tea Plantations,7.1157,80.4767
Great Western Estate,Talawakele,Central,One of the oldest estates in Sri Lanka with colonial heritage buildings.,Tea Plantations,7.1691,80.5963
Galle Fort,Galle,Southern,"UNESCO site with Dutch colonial architecture, rampart walls, and cobblestone streets.",Colonial Towns,6.0535,80.2210
Colombo Fort,Colombo,Western,"Historic district with British, Dutch and Portuguese colonial architecture and modern additions.",Colonial Towns,6.9271,79.8612
Nuwara Eliya Town,Nuwara Eliya,Central,"'Little England' with Tudor-style buildings, colonial cottages, and a cool climate.",Colonial Towns,6.9497,80.7891
Matara Fort,Matara,Southern,"Dutch fort with ramparts, colonial buildings, and a star-shaped fortress.",Colonial Towns,5.9549,80.5550
Jaffna Town,Jaffna,Northern,City with Dutch and Portuguese influences seen in colonial buildings and fort ruins.,Colonial Towns,9.6615,80.0255
Batticaloa Town,Batticaloa,Eastern,"Coastal town with Dutch fort, colonial churches, and a unique singing fish phenomenon.",Colonial Towns,7.9133,81.6537
Trincomalee Town,Trincomalee,Eastern,"Strategic harbor town with colonial architecture from Portuguese, Dutch and British periods.",Colonial Towns,8.5922,81.2016
Mannar Town,Mannar,Northern,Island town with Doric columns of the Dutch Fort and colonial-era administrative buildings.,Colonial Towns,9.8037,79.9650
Kalpitiya Fort,Kalpitiya,North Western,"Dutch fort built in 1676 for the spice trade, with thick walls and a strategic location.",Colonial Towns,7.6530,80.0344
Hammenhiel Fort,Jaffna,Northern,Unique Dutch fort built on a small island between Kayts and Karaitivu islands.,Colonial Towns,9.6615,80.0255
Tangalle Town,Tangalle,Southern,Coastal colonial town with Dutch and British architectural influences.,Colonial Towns,6.1041,80.1833
Puttalam Town,Puttalam,North Western,Trading port with colonial structures from the Dutch and Portuguese periods.,Colonial Towns,7.6978,80.1368
Negombo Town,Negombo,Western,"Known as 'Little Rome' with Dutch canals, Portuguese and Dutch architecture.",Colonial Towns,7.2008,79.8737
Chettinad,Jaffna,Northern,District with unique colonial and Chettiar architecture influenced by trade wealth.,Colonial Towns,9.6615,80.0255
Haputale Town,Haputale,Uva,Hill station with British colonial architecture and tea plantation heritage.,Colonial Towns,6.8180,81.3444
Hatton Town,Hatton,Central,Railway town developed during British rule with colonial administrative buildings.,Colonial Towns,7.1149,80.8019
Badulla Town,Badulla,Uva,End of the colonial railway line with British administrative buildings and churches.,Colonial Towns,6.8730,81.1744
Point Pedro Town,Point Pedro,Northern,Northernmost town with Dutch and Portuguese colonial remnants and lighthouse.,Colonial Towns,9.7716,79.9154
Kalutara Town,Kalutara,Western,River mouth settlement with British and Dutch influences and the Kalutara Bridge.,Colonial Towns,6.7438,80.0576
Panadura Town,Panadura,Western,Coastal town with colonial churches and the historic site of the great Buddhist debate.,Colonial Towns,6.8236,79.7388
National Museum of Colombo,Colombo,Western,Sri Lanka's largest museum with artifacts spanning prehistory to the colonial era.,Museums,6.9271,79.8612
Galle National Museum,Galle,Southern,Located in the oldest Dutch building in Galle Fort with maritime and cultural artifacts.,Museums,6.0535,80.2210
Kandy National Museum,Kandy,Central,Former royal palace with artifacts from the ancient Kandyan Kingdom.,Museums,7.2906,80.6337
Maritime Museum,Galle,Southern,Located in the Dutch warehouse of the Galle Fort with maritime artifacts and maps.,Museums,6.0535,80.2210
Folk Museum,Anuradhapura,North Central,"Collection of traditional tools, pottery, and folk objects from rural Sri Lanka.",Museums,8.3114,80.4037
Independence Memorial Museum,Colombo,Western,Modern museum dedicated to Sri Lanka's independence movement and leaders.,Museums,6.9271,79.8612
Martin Wickramasinghe Folk Museum,Koggala,Southern,Writer's ancestral home with traditional rural lifestyle artifacts.,Museums,5.8724,80.0685
National Railway Museum,Colombo,Western,"Collection of historic locomotives, carriages, and railway memorabilia.",Museums,6.9271,79.8612
Central Cultural Fund Museum,Polonnaruwa,North Central,Archaeological museum with artifacts from the ancient city of Polonnaruwa.,Museums,7.9403,81.0188
Sigiriya Museum,Sigiriya,Central,"Modern facility with artifacts, information, and a model of the Sigiriya rock palace.",Museums,7.9573,80.7505
Anuradhapura Archaeological Museum,Anuradhapura,North Central,Collection of religious and civic artifacts from ancient Anuradhapura.,Museums,8.3114,80.4037
World Buddhist Museum,Kandy,Central,International Buddhist artifacts housed in the former royal court building.,Museums,7.2906,80.6337
Traditional Mask Museum,Ambalangoda,Southern,Collection of ceremonial masks with demonstrations of traditional mask making.,Museums,5.9967,80.1268
Ceylon Tea Museum,Kandy,Central,Located in the former Hantane Tea Factory with tea production equipment and history.,Museums,7.2906,80.6337
Gem Museum,Ratnapura,Sabaragamuwa,Educational museum about Sri Lanka's gemstone industry with mining exhibits.,Museums,6.7817,80.3722
Dutch Period Museum,Colombo,Western,"Colonial-era house with furniture, coins, and artifacts from the Dutch period.",Museums,6.9271,79.8612
DFCC Museum,Jaffna,Northern,Archaeological museum with artifacts from the Jaffna region and Northern Province.,Museums,9.6615,80.0255
Tsunami Photo Museum,Telwatta,Southern,Community museum documenting the 2004 tsunami's impact on coastal communities.,Museums,6.2440,80.1694
Dambulla Museum,Dambulla,Central,Archaeological museum with artifacts from the area's caves and ancient sites.,Museums,7.8729,80.6510
Natural History Museum,Colombo,Western,"Collection of Sri Lanka's fauna, flora, geology, and anthropology exhibits.",Museums,6.9271,79.8612
Ethnological Museum,Kandy,Central,Collection focusing on Sri Lanka's diverse ethnic communities and cultures.,Museums,7.2906,80.6337
Royal Asiatic Society Museum,Colombo,Western,Small museum with historical manuscripts and colonial-era memorabilia.,Museums,6.9271,79.8612
Government Survey Museum,Colombo,Western,"Collection of surveying equipment, maps, and geographical information.",Museums,6.9271,79.8612
Diyawanna Archaeology Museum,Colombo,Western,Modern museum featuring artifacts from excavations around the Western Province.,Museums,6.9271,79.8612
Ella Rock,Ella,Uva,Iconic mountain offering panoramic views after a moderate hike through tea plantations.,Natural Attractions,6.8667,81.0466
World's End,Nuwara Eliya,Central,"Sheer cliff with an 870m drop at Horton Plains National Park, offering stunning views.",Natural Attractions,6.9497,80.7891
Bambarakanda Falls,Kalupahana,Uva,"Sri Lanka's highest waterfall at 263m, located near Haputale.",Natural Attractions,7.0938,81.4905
Diyaluma Falls,Koslanda,Uva,Second highest waterfall in Sri Lanka with natural swimming pools at different levels.,Natural Attractions,6.9112,81.1667
Ravana Falls,Ella,Uva,"Popular waterfall linked to the Ramayana legend, easily accessible from the road.",Natural Attractions,6.8667,81.0466
Baker's Falls,Nuwara Eliya,Central,Picturesque waterfall in Horton Plains National Park named after British explorer.,Natural Attractions,6.9497,80.7891
Dunhinda Falls,Badulla,Uva,30m waterfall known as the 'smoky mountain falls' due to the spray it creates.,Natural Attractions,6.8239,81.2939
Sinharaja Forest Reserve,Deniyaya,Sabaragamuwa,UNESCO World Heritage rainforest with high biodiversity and endemic species.,Natural Attractions,6.5517,80.2780
Little Adam's Peak,Ella,Uva,"Easy hiking mountain with panoramic views, named for its resemblance to the larger peak.",Natural Attractions,6.8667,81.0466
Sri Pada (Adam's Peak),Ratnapura,Sabaragamuwa,Sacred mountain with a footprint-shaped depression revered by multiple religions.,Natural Attractions,6.8361,80.3909
