Place Name,Category,Location
Goyambokka Beach,Beaches,Hambantota District
Mawella Beach,Beaches,Hambantota District
Panama Beach,Beaches,Ampara District
Kuchchaveli Beach,Beaches,Trincomalee District
Induruwa Beach,Beaches,Galle District
Kosgoda Beach,Beaches,Galle District
Star Fort Matara,Colonial Towns,Matara District
Point Pedro Remains,Colonial Towns,Jaffna District
Tangalle Old Town,Colonial Towns,Hambantota District
Beruwala Lighthouse,Colonial Towns,Kalutara District
Ella Colonial Bungalows,Colonial Towns,Badulla District
Haputale Old Estates,Colonial Towns,Badulla District
Bandarawela Colonial Quarter,Colonial Towns,Badulla District
Mannar Dutch Fort,Colonial Towns,Mannar District
Koggala Old Settlement,Colonial Towns,Galle District
Pettah Market Area,Colonial Towns,Colombo District
Kala Oya Ruins,Cultural/Heritage Sites,Puttalam District
Panduwanwila,Cultural/Heritage Sites,Anuradhapura District
Dimbulagala,Cultural/Heritage Sites,Polonnaruwa District
Seruwawila Stupa,Cultural/Heritage Sites,Trincomalee District
Kudumbigala,Cultural/Heritage Sites,Ampara District
Batticaloa Heritage Site,Cultural/Heritage Sites,Batticaloa District
Arankele Monastery,Cultural/Heritage Sites,Kurunegala District
Avukana Buddha,Cultural/Heritage Sites,Anuradhapura District
Maha Saman Devalaya,Cultural/Heritage Sites,Ratnapura District
Kuragala Rock,Cultural/Heritage Sites,Kegalle District
Gangaramaya Park,Gardens,Colombo District
Talangama Wetland,Gardens,Colombo District
Maduganga Garden,Gardens,Galle District
Weligama Coastal Park,Gardens,Matara District
Jaffna Public Garden,Gardens,Jaffna District
Anawilundawa Sanctuary,Gardens,Puttalam District
Matale Spice Garden,Gardens,Matale District
Kandy Lake Garden,Gardens,Kandy District
Ratnapura Eco Garden,Gardens,Ratnapura District
Badulla Urban Park,Gardens,Badulla District
Shanthipura,Hill Stations,Nuwara Eliya District
Dayagama,Hill Stations,Nuwara Eliya District
Mandaram Nuwara,Hill Stations,Kandy District
Illukkumbura,Hill Stations,Matale District
Loolkandura,Hill Stations,Nuwara Eliya District
Norton Bridge,Hill Stations,Nuwara Eliya District
Ginigathhena,Hill Stations,Nuwara Eliya District
Meepilimana,Hill Stations,Nuwara Eliya District
Kothduwa,Hill Stations,Badulla District
Passara,Hill Stations,Badulla District
Ella Heritage Museum,Museums,Badulla District
Kurunegala Museum,Museums,Kurunegala District
Monaragala Heritage Museum,Museums,Monaragala District
Puttalam Salt Museum,Museums,Puttalam District
Kalutara Bodhiya Museum,Museums,Kalutara District
Kegalle Cultural Museum,Museums,Kegalle District
Mannar Island Museum,Museums,Mannar District
Mirissa Fisheries Museum,Museums,Matara District
Hakgala Nature Museum,Museums,Nuwara Eliya District
Tangalle Maritime Museum,Museums,Hambantota District
Bomburu Ella,Natural Attractions,Badulla District
Surathali Falls,Natural Attractions,Badulla District
Kirindi Ella,Natural Attractions,Nuwara Eliya District
Kolapathana Falls,Natural Attractions,Nuwara Eliya District
Sari Falls,Natural Attractions,Badulla District
Madu Ganga Wetland,Natural Attractions,Galle District
Kelani River,Natural Attractions,Colombo District
Attidiya Bird Sanctuary,Natural Attractions,Colombo District
Kanneliya Forest,Natural Attractions,Galle District
Muthurajawela Marsh,Natural Attractions,Gampaha District
